smiles,pIC50(M)
CCCCCCCCOc1ccccc1C1CC(=O)c2ccc(O)cc2O1,3.0
CNC(=O)c1noc2c(F)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C)CN31,5.958607314841775
COc1cc2ccccc2c(N2CCN(CCCNc3cc(=O)oc4ccccc34)CC2)n1,4.180456064458132
NC[C@H](N=c1[nH]ccc2ccc(-c3ccccc3Cl)cc12)c1ccccc1,5.0
COc1ccc2ncc(C#N)c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)c2c1,7.0
CNc1cc(F)cc2cc(C(=O)Nc3ccc(C(N)=O)cc3CN(C)C3CCCCC3)c(=O)[nH]c12,8.602059991327963
COCCNC(=O)c1noc2c(F)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C)CN31,6.0
NC1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,5.105683937315562
COc1cncc(-c2noc3c(F)c4c(cc23)CC2(C(=O)NC(=O)NC2=O)[C@H]2[C@H](C)O[C@H](C)CN42)n1,5.958607314841775
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(N4CCC(N(C)C)CC4)cc(=O)oc3c2C)OC1(C)C,6.319664486585437
Cc1cc(=NS(=O)(=O)c2ccc(/N=N/N3CCN(c4cc5c(cc4F)c(=O)c(C(=O)O)cn5C4CC4)CC3)cc2)[nH]o1,5.709965388637482
COC(=O)c1cccc(-c2cccc(C(=O)N[C@@H](CN)c3ccccc3)c2)c1,4.619788758288394
C[C@@H]1O[C@H](C)CN2c3c(cc4c(C(N)=O)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.522878745280337
O=c1cc(NC[C@H](O)CN2CCN(c3nccc4ccc(F)cc34)CC2)c2ccccc2o1,5.7447274948966935
Cc1nsc2c(F)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C)CN31,6.698970004336019
O=C(O)c1cn(C2CC2)c2nc(C3=CCNCC3)c(F)cc2c1=O,4.939302159646388
CCOc1cccc(-c2cccc(C(=O)N[C@@H](CN)c3ccccc3)c2)c1,4.698970004336019
COC(=O)CC(=O)N=c1[nH]c2c(s1)C[C@@H](NC(=O)c1cc(Cl)c(Cl)[nH]1)CC2,6.3979400086720375
C[C@@H]1Cc2ccccc2-c2cc(=O)c(C(=O)O)cn21,3.903089986991944
NC[C@H](Oc1noc2ccc(-c3ccccc3Cl)nc12)c1ccccc1,5.795880017344075
CCNCC1CCN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,5.177831920631983
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5CCCCC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,5.619788758288394
Cc1[nH]c(C(=O)N=c2[nH]c3ccc(C(O)=NO)cc3s2)c(Cl)c1Cl,6.552841968657781
C[C@@H]1O[C@H](C)CN2c3c(nc4c(-c5sc(Cl)nc5Cl)noc4c3Cl)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,5.698970004336019
Cc1[nH]c(C(=O)N=c2[nH]c3ccc(NC(=O)CCNC(=O)OC(C)(C)C)cc3s2)c(Cl)c1Cl,6.958607314841775
O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,7.221848749616356
CNc1cc(F)cc2cc(C(=O)Nc3cnc(C(=O)O)nc3)c(=O)[nH]c12,9.022276394711152
C[C@@H]1O[C@H](C)CN2c3c(cc4c(C(=O)NCc5ccnn5C)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,5.6777807052660805
Cc1c(N2CCCCC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,5.028260409112222
CNc1cc(F)cc2c(=O)c(C(=O)Nc3ccc(C(=O)O)cc3)c(O)[nH]c12,8.958607314841775
Cc1c2c(cc3c(-c4cnccn4)noc13)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C)CN21,5.853871964321762
CC[C@@H]1CCN(c2c(F)cc3c(=O)n(N)c(=O)n(C4CC4)c3c2OC)C1,5.229147988357856
Cc1[nH]c(C(=O)N=c2[nH]c3c(OCCN4CCOCC4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,8.0
NCC1CCN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,5.115771230367396
O=c1oc2cc(O)c(O)cc2c2cc(F)ccc12,2.8239087409443187
C[C@@H]1O[C@H](C)CN2c3c(cc4c(C#N)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,4.920818753952375
Cc1noc2c(F)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C(F)(F)F)CN31,5.356547323513812
O=C(CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,5.542118103266008
CC1(CN)CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,4.860120913598763
O=c1[nH]c(=NCC(O)CN2CCN(c3nccc4ccc(F)cc34)CC2)c2cc(F)ccc2o1,6.3979400086720375
COc1ccc2[nH]c(=NC(=O)c3[nH]c(C)c(Cl)c3Cl)sc2c1,6.0
CCOC(=O)CCCN=c1[nH][nH]c2cccc(OCc3ccc(C(C)(C)C)cc3)c12,4.4089353929735005
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5C(=O)OC[C@@H]5C5CCOCC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.275724130399211
C[C@@H]1O[C@H](C)CN2c3c(cc4c(C(F)(F)F)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,5.853871964321762
CC(=O)N=c1[nH]oc2c(F)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C)CN31,6.096910013008056
NCCn1c(=O)c2cc(F)c(N3CC[C@@H](CN)C3)cc2n(C2CC2)c1=O,4.301029995663981
O=C(/C=C/c1ccc(N2CCCCC2)cc1)c1ccc(O)cc1O,3.0
Cc1ncsc1-c1noc2c(F)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)[C@@H]1[C@@H](C)O[C@@H](C)CN31,6.045757490560675
c1ccc(COc2ccc(-c3cc(C4CCNCC4)[nH]n3)cc2)cc1,3.416801226031377
C[C@@H]1O[C@H](C)CN2c3c(cc4c(-c5ccncn5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.522878745280337
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,2.779891911959945
CCn1cc(-c2nc(=NC(=O)c3ccccc3)[nH][nH]2)c(=O)c2cc(Br)c(C)nc21,5.377785977033705
NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,5.044793462458058
CNC(=O)c1noc2c(Cl)c3c(nc12)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C)CN31,6.154901959985743
C[C@@H]1O[C@H](C)CN2c3c(cc4c(-n5cc(-c6ccncn6)cn5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,4.787812395596042
CC(=O)NC1CN(C(=O)c2noc3c(F)c4c(cc23)CC2(C(=O)NC(=O)NC2=O)[C@H]2[C@H](C)O[C@H](C)CN42)C1,6.0
CCOC(=O)c1cc2c3cc(F)c(N4CC[C@@H](CN)C4)cc3n(CC)c(=O)n2n1,4.301029995663981
Cc1ccccc1C(=O)N[C@@H](CN)c1ccccc1,4.0
CC1(C)C2C=CC(=CCC(=O)c3ccc(O)cc3O)C1C2,3.6020599913279625
O=C(O)c1ccc2[nH]c(=NC(=O)c3cc(Cl)c(Cl)[nH]3)sc2c1,7.721246399047171
CCOC(=O)c1noc2c(F)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C)CN31,6.0
Cc1cc(=NS(=O)(=O)c2ccc(NC(=O)C(C)N3CCN(c4cc5c(cc4F)c(=O)c(C(=O)O)cn5C4CC4)CC3)cc2)[nH]o1,5.896196279044043
COC(=O)C1CN(CCSc2cccs2)CCN1CCCc1c(F)cnc2ccc(OC)cc12,4.73471037413917
C[C@@H]1O[C@H](C)CN2c3c(cc4c(-n5cc(CO)cn5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,5.6777807052660805
C[C@@H]1O[C@H](C)CN2c3c(cc4c(C(=O)N5CC(F)(F)C5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.522878745280337
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,5.302770657240282
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5C(=O)OC[C@@H]5C)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.772113295386326
CNc1cc(F)cc2cc(C(=O)Nc3ccc(C(=O)NS(=O)(=O)N(C)C)cc3)c(=O)[nH]c12,9.366531544420411
O=c1oc2c(O)c(O)ccc2c2cc(F)ccc12,3.350665141287858
C[C@@H]1O[C@H](C)CN2c3c(cc4c(-c5cncnc5)noc4c3Cl)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.0
C[C@@H]1O[C@H](C)CN2c3c(cc4c(-c5ccccc5F)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.3979400086720375
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5C(=O)OC[C@@H]5CCCO)noc4c3Cl)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.585026652029182
NS(=O)(=O)c1ccc(NC(=O)CN2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)cc1,5.87942606879415
Cc1cc(-c2noc3c(F)c4c(cc23)CC2(C(=O)NC(=O)NC2=O)[C@H]2[C@H](C)O[C@H](C)CN42)no1,6.3979400086720375
O=C(N=c1[nH]c2ccc(C(O)=NO)cc2s1)c1cc(Br)c(Br)[nH]1,7.050609993355087
CCN(C(=O)c1[nH]c(C)c(Cl)c1Cl)c1nc2ccc(C(=O)O)cc2s1,8.0
CCNC(=O)c1noc2c(F)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C)CN31,5.769551078621726
Cc1[nH]c(C(=O)N=c2[nH]c3ccc(C(=O)O)cc3s2)c(Cl)c1Br,8.0
[C-]#[N+]c1ccc(-c2noc3c(Cl)c4c(nc23)CC2(C(=O)NC(=O)NC2=O)[C@H]2[C@H](C)O[C@H](C)CN42)cc1F,6.221848749616356
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5C(=O)OC[C@@H]5c5cnccn5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.022276394711152
NC[C@H](Oc1noc2ccc(-c3ccccc3Cl)cc12)c1ccccc1,6.795880017344075
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,3.539102157243452
CCOC(=O)c1cnn2c(=O)n(CC)c3cc(N4CC[C@@H](CN)C4)c(F)cc3c12,5.455931955649724
CCOC(=O)c1cnn(-c2noc3c(F)c4c(cc23)CC2(C(=O)NC(=O)NC2=O)[C@H]2[C@H](C)O[C@H](C)CN42)c1,5.070581074285707
CNc1cc(F)cc2cc(C(=O)Nc3ccc(CO)cc3CN(C)C3CCCCC3)c(=O)[nH]c12,8.721246399047171
NCc1ccc(-c2cc3c(cc2F)c(=O)c2c(=O)[nH]sc2n3C2CC2)cc1,7.0
CCOc1cccc(-c2cccc(C(=O)NC(CN)c3cccc(O)c3)c2)c1F,4.207608310501746
CNc1cc(F)cc2c(NCC3(N)CCC3)c(C(=O)Nc3ccc(C(=O)O)cc3)c(=O)[nH]c12,8.657577319177793
O=C1c2cc(O)c(O)cc2-c2cc(O)c(O)cc21,4.274088367704952
O=c1[nH]sc2c1c(=O)c1cc(F)c(-c3cccc(C4CCCCN4)c3)cc1n2C1CC1,6.154901959985743
Cc1[nH]c(C(=O)N=c2[nH]c3c(OCc4ccccc4)cc(C(N)=O)cc3s2)c(Cl)c1Cl,7.958607314841775
Cc1cc2ccccc2c(N2CCN(CCCNc3cc(=O)oc4ccccc34)CC2)n1,5.318758762624412
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5C[C@H](c6ccccn6)OC5=O)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.42021640338319
O=c1[nH]sc2c1c(=O)c1cc(F)c(N3CCNCC3)cc1n2C1CC1,7.0
C[C@@H]1O[C@H](C)CN2c3c(cc4c(-n5cc(I)cn5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,5.6777807052660805
O=c1c(O)cc2c(O)oc3c(=O)c(O)cc4c(O)oc1c2c43,4.962573502059376
NC(=O)CC(=O)N=c1[nH]c2c(s1)C[C@@H](NC(=O)c1cc(Br)c(Br)[nH]1)CC2,5.769551078621726
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,6.221848749616356
CCOC(=O)C(=O)N=c1[nH]c2c(s1)C[C@@H](NC(=O)c1cc(Cl)c(Cl)[nH]1)CC2,6.3979400086720375
C[C@@H]1O[C@H](C)CN2c3c(cc4c(-n5cc(C(N)=O)cn5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,5.657577319177793
NS(=O)(=O)c1ccc(/N=N/N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)cc1,5.448550002027125
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5CCCCCC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,5.431798275933005
COc1ccc2ncc(F)c(CCCN3CCN(C/C=C/c4cc(F)ccc4F)CC3C(=O)O)c2c1,5.189767482004916
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5C(=O)OC[C@@H]5[C@@H](O)CO)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.537602002101044
O=c1cc(NCCCN2CCN(c3nccc4ccc(Cl)cc34)CC2)c2ccccc2o1,6.045757490560675
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5C(=O)OC[C@@H]5CCCF)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.301029995663981
N#Cc1ccc2ccnc(N3CCN(CCCNc4cc(=O)oc5ccccc45)CC3)c2c1,5.638272163982407
CCOc1cccc(-c2cc(C(=O)N[C@@H](CN)c3ccccc3)ccc2C)c1,4.200659450546418
N=c1[nH]c2c(s1)C[C@@H](NC(=O)c1cc(Br)c(Br)[nH]1)CC2,4.920818753952375
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5C[C@@H](C)OC5=O)noc4c3Cl)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.6777807052660805
COc1ccc(CN2CC(C(=O)O)C(=O)c3cc(F)c(N4CC[C@@H](CN)C4)c(OC)c32)cc1,3.6989700043360183
CN(CCCN1CCN(c2nccc3ccccc23)CC1)c1cc(=O)oc2ccccc12,4.498940737782249
C[C@H]1CN2c3c(cc4c(C(=O)NCC(F)F)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]2[C@@H](C)O1,4.292429823902063
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5C(=O)OC[C@@H]5CCO)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.376750709602099
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(N(C)CCN(C)C)cc(=O)oc3c2C)OC1(C)C,6.202732459169283
O=C(O)CC(=O)Nc1ccc2[nH]c(=NC(=O)c3cc(Br)c(Br)[nH]3)[nH]c2c1,5.823908740944319
Cc1ccc(-c2noc3c(Cl)c4c(cc23)CC2(C(=O)NC(=O)NC2=O)[C@H]2[C@H](C)O[C@H](C)CN42)cn1,5.795880017344075
Cc1[nH]c(C(=O)N(c2nc3ccc(C(=O)O)cc3s2)C(C)C)c(Cl)c1Cl,6.494850021680094
CNc1cc(F)cc2c(N[C@H]3C[C@@H](N)C3)c(C(=O)Nc3ccc(C(=O)O)cc3)c(=O)[nH]c12,8.568636235841012
CC1CN2c3c(cc4c(C5CC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)C2C(C)O1,6.468521082957745
O=c1cc(NCCCN2CCN(c3nccc4ccc(F)cc34)CC2)c2c(o1)CCNC2,4.642065152999546
C[C@@H]1O[C@H](C)CN2c3c(cc4c(-n5cc(Cl)cn5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,5.031517051446065
