smiles,pIC50(M)
NCc1c(-c2ccccc2)[nH]c2nc(-c3ccc(Cl)cc3)cn2c1=O,5.818156412055227
COc1ccccc1-c1cn2c(=O)c(CN)c(-c3ccccc3)[nH]c2n1,5.943095148663527
NCc1c(-c2ccccc2)[nH]c2nc(-c3ccc(Cl)c(Cl)c3)cn2c1=O,6.136677139879544
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc3ncccc3nc2N2C3CCC2CC(N)C3)c[nH]1,8.522878745280337
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc3ncccc3nc2N2C3CCC2CNC3)c[nH]1,8.096910013008056
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc(C(=O)N[SH](=O)=O)cnc2N2C3CCC2CN(C)C3)c[nH]1,8.096910013008056
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc(-c3n[nH]c(=O)o3)cnc2N2C3CCC2CC(N)C3)c[nH]1,8.397940008672037
O=C(CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)Nc1ccc2[nH]c(=NC(=O)c3cc(Br)c(Br)[nH]3)sc2c1,6.568636235841013
Cc1[nH]c(C(=O)N=c2[nH]c3ccc(NC(=O)CN4CCN(c5cc6c(cc5F)c(=O)c(C(=O)O)cn6C5CC5)CC4)cc3s2)c(Cl)c1Cl,7.259637310505756
Cc1[nH]c(C(=O)N=c2[nH]c3ccc(NC(=O)CCN4CCN(c5cc6c(cc5F)c(=O)c(C(=O)O)cn6C5CC5)CC4)cc3s2)c(Cl)c1Cl,7.267606240177032
O=C(CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)N=c1[nH]c2ccc(NC(=O)c3cc(Br)c(Br)[nH]3)cc2s1,6.455931955649724
Cc1[nH]c(C(=O)Nc2ccc3[nH]c(=NC(=O)CN4CCN(c5cc6c(cc5F)c(=O)c(C(=O)O)cn6C5CC5)CC4)sc3c2)c(Cl)c1Cl,6.494850021680094
O=C(CCl)N=c1[nH]c2ccc(NC(=O)c3cc(Br)c(Br)[nH]3)cc2s1,6.42021640338319
Oc1ccc(Sc2ccc(O)cc2)cc1,3.0222763947111524
Oc1ccc(Oc2ccccc2)cc1,3.275724130399211
CC(C)(c1ccccc1)c1ccc(O)cc1,3.408935392973501
Oc1ccc(Oc2cccc(Cl)c2)cc1,3.494850021680094
Oc1ccc(Oc2cccc(C(F)(F)F)c2)cc1,3.619788758288394
Oc1ccc(Oc2ccc(Cl)cc2)cc1,3.5686362358410126
